Tickers,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend Est.,Dividend TTM,Dividend Ex-Date,Employees,Option/Short,Sales Surprise,SMA20,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,EPS Surprise,SMA50,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS Growth next Y,EPS next 5Y,EPS past 5Y,Sales past 5Y,EPS Y/Y TTM,Sales Y/Y TTM,EPS Q/Q,Sales Q/Q,SMA200,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROI,Gross Margin,Oper. Margin,Profit Margin,Payout,Earnings,Trades,Shs Outstand,Shs Float,Short Float,Short Ratio,Short Interest,52W Range,52W High,52W Low,RSI (14),Recom,Rel Volume,Avg Volume,Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf Year,Perf YTD,Beta,ATR (14),Volatility,Target Price,Prev Close,Price,Change
CNQ,-,97.27B,5.58B,26.26B,13.98,0.18,1.54 (4.59%),2.28 (6.77%),"Dec 13, 2024",10272,Yes / Yes,-1.38%,-1.99%,13.02,12.60,2.60,3.70,2.41,182.26,13.61,0.53,0.84,0.29,0.24,5.26%,-2.26%,2.59,2.67,0.66,-12.67%,7.25%,5.00%,27.79%,17.44%,8.16%,-1.90%,-1.89%,-11.62%,-5.53%,4.28%,0.00%,72.90%,-3.88%,9.95%,18.95%,15.20%,30.05%,27.84%,21.23%,49.04%,Oct 31 BMO,,2.14B,2.02B,2.51%,11.04,50.78M,29.45 - 41.29,-18.48%,14.28%,43.55,2.00,0.82,4.60M,"3,774,348",-1.64%,-5.34%,-5.71%,-12.87%,5.30%,2.75%,1.51,0.86,2.81% 2.18%,40.23,33.10,33.66,1.69%
CNS,RUT,5.04B,135.26M,491.28M,9.71,2.11,-,2.36 (2.36%),"Nov 18, 2024",405,Yes / Yes,7.45%,-1.10%,37.28,27.85,19.62,10.25,10.28,47.32,33.42,-,-,0.29,0.29,3.77%,2.42%,2.68,3.59,0.81,4.25%,21.16%,1.90%,1.62%,6.54%,0.84%,0.46%,19.06%,7.49%,23.81%,46.58%,-0.22%,60.83%,0.67%,19.30%,31.54%,21.42%,85.92%,39.42%,27.53%,87.55%,Oct 16 AMC,,49.16M,27.01M,5.90%,7.62,1.59M,56.04 - 110.67,-9.74%,78.25%,50.03,2.67,0.63,209.17K,"132,128",-4.88%,-6.19%,18.20%,36.63%,70.46%,31.90%,1.51,2.74,2.54% 2.55%,106.50,100.47,99.89,-0.58%
CNSL,RUT,550.89M,-233.88M,1.09B,1.91,0.37,-,-,"Apr 12, 2019",3180,Yes / Yes,0.33%,-0.37%,-,-,-,0.51,2.42,12.41,-,0.76,0.76,3.78,3.75,6.04%,-0.20%,-2.05,-1.77,-0.48,-12.22%,-39.71%,2.00%,-28.91%,-4.50%,17.32%,-3.65%,12.18%,-4.43%,3.86%,35.73%,0.00%,48.30%,-0.03%,-5.05%,-25.38%,-7.75%,28.73%,-3.81%,-21.46%,-,Nov 05 BMO,,116.17M,76.14M,5.22%,11.70,3.98M,4.16 - 4.70,-1.70%,11.06%,45.31,3.00,0.90,339.82K,"304,514",-1.07%,-0.22%,0.87%,7.19%,10.53%,6.21%,1.00,0.02,0.69% 0.46%,4.35,4.63,4.62,-0.22%
CNSP,-,6.10M,-17.06M,0.00M,0.10,0.14,-,-,-,5,No / Yes,-,-3.44%,-,-,-,-,1.20,0.87,-,1.81,1.81,0.01,0.00,-,-8.17%,-75.02,-0.85,-0.10,-,-,-,17.98%,0.00%,82.41%,-,99.53%,-,-98.04%,1.61%,0.00%,1.22%,45.95%,-350.34%,-2116.75%,-508.80%,-,0.00%,-,-,Aug 12,,37.15M,36.55M,3.11%,0.08,1.14M,0.10 - 137.50,-99.91%,25.65%,45.60,1.00,0.59,14.13M,"8,355,148",-6.10%,-1.64%,-29.49%,-98.89%,-99.89%,-99.81%,1.05,0.02,13.29% 23.11%,0.50,0.11,0.12,14.18%
CNTA,-,2.12B,-162.05M,6.91M,3.79,3.94,-,-,-,76,Yes / Yes,-,0.53%,-,-,-,306.76,4.25,4.09,-,21.52,21.52,0.17,0.17,6.64%,1.10%,-1.53,-1.59,-0.42,1.27%,-2.82%,-,-,0.00%,7.72%,-,6.97%,-,37.45%,32.34%,-1.24%,57.78%,26.43%,-32.83%,-42.73%,-27.78%,86.07%,-2350.25%,-2344.26%,-,Nov 12 BMO,,98.77M,89.08M,2.41%,3.39,2.15M,5.58 - 18.74,-14.09%,188.38%,49.95,1.00,1.27,634.04K,"805,547",-3.77%,0.31%,33.94%,84.63%,130.66%,102.26%,1.48,0.96,8.21% 5.24%,28.29,16.00,16.10,0.63%
CNTB,-,55.80M,-,-,2.00,1.99,-,-,-,81,Yes / Yes,-,-11.77%,-,-,-,-,0.51,0.51,-,12.04,12.04,0.00,0.00,-,-18.05%,-,0.00,-0.33,81.49%,100.00%,-,-39.81%,0.00%,27.23%,-,113.37%,-,-25.63%,3.62%,0.00%,5.33%,8.30%,-,-,-,-,0.00%,-,-,Sep 05 AMC,,55.10M,53.25M,0.06%,0.97,0.03M,0.68 - 2.84,-64.44%,49.03%,38.61,1.00,0.70,30.37K,"21,259",-3.81%,-19.20%,-3.81%,-39.52%,-49.25%,-14.41%,-0.31,0.10,9.21% 7.88%,8.00,1.11,1.01,-9.01%
CNTM,-,24.49M,-17.41M,0.00M,8425.43,0.01,-,-,-,3,No / Yes,-,10.17%,-,-,-,-,0.00,106.47,-,0.02,0.02,0.00,0.00,-,-2.55%,-1.67,-,-,-,-,-,-,0.00%,-115.30%,-,133.39%,-,-84.60%,37.34%,5.28%,10.95%,51.01%,-19.65%,-0.04%,-0.02%,-,0.00%,-,-,-,,23.46M,14.70M,2.31%,1.39,0.34M,0.67 - 12.47,-91.98%,49.03%,55.06,-,1.24,243.35K,"301,752",27.29%,-11.50%,-10.71%,-91.10%,-90.38%,-90.79%,0.23,0.10,12.67% 9.80%,-,0.96,1.00,4.17%
CNTX,-,122.02M,-30.15M,0.00M,1.12,1.17,-,-,-,5,No / Yes,-,-20.49%,-,-,-,-,1.50,1.44,-,36.91,36.91,0.00,0.00,-144.44%,-17.62%,-0.91,-0.31,-0.06,70.33%,30.90%,-,-26.70%,0.00%,29.85%,-,41.06%,-,-7.96%,21.04%,0.00%,55.92%,-,-55.16%,-58.98%,-35.90%,-,0.00%,-,-,Nov 06 AMC,,75.00M,59.22M,1.73%,4.09,1.02M,0.77 - 2.75,-38.91%,118.18%,31.35,1.00,1.24,250.62K,"311,441",-17.65%,-17.65%,-32.80%,-15.58%,66.34%,48.67%,2.19,0.16,9.36% 8.04%,7.38,1.84,1.68,-8.70%
CNTY,-,131.01M,-74.10M,581.91M,1.85,3.89,-,-,-,3243,Yes / Yes,0.18%,15.75%,-,-,-,0.23,2.32,1.10,-,1.74,1.79,17.96,17.79,-7.35%,42.99%,-2.42,-0.50,-0.27,-151.58%,78.61%,25.00%,-,26.98%,-241.92%,14.06%,43.36%,-3.40%,51.51%,14.73%,0.00%,51.70%,-5.48%,-5.57%,-79.81%,-6.94%,36.18%,10.82%,-12.73%,-,Nov 04 BMO,,30.36M,26.16M,0.42%,1.27,0.11M,1.94 - 5.05,-15.13%,121.13%,71.18,1.00,1.82,85.79K,"156,025",-1.38%,54.32%,84.91%,46.92%,-6.54%,-12.09%,2.57,0.30,7.49% 8.46%,5.00,4.22,4.29,1.66%
CNVS,-,69.15M,-22.21M,45.01M,1.66,0.12,-,-,-,179,No / Yes,18.55%,34.36%,-,-,-,1.54,2.13,28.46,-,0.96,0.96,0.28,0.01,25.00%,102.85%,-1.61,-0.12,0.37,102.81%,-340.00%,10.00%,27.31%,5.07%,-681.71%,-32.24%,-143.06%,-2.10%,189.83%,18.61%,0.00%,14.92%,169.20%,-30.09%,-56.86%,-73.61%,50.96%,-4.05%,-49.36%,-,Nov 14 AMC,,15.70M,12.92M,2.65%,1.26,0.34M,0.71 - 3.93,-9.92%,395.10%,72.29,1.00,3.73,271.46K,"1,011,695",13.83%,55.26%,330.19%,243.69%,227.78%,162.22%,1.55,0.36,19.99% 13.89%,7.50,3.20,3.54,10.62%
CNX,RUT,5.79B,591.96M,1.41B,28.52,0.01,-,-,"Feb 11, 2016",470,Yes / Yes,8.28%,6.30%,12.28,21.57,0.91,4.10,1.37,4417.32,34.96,0.36,0.37,0.56,0.48,25.92%,14.97%,3.18,1.81,0.41,-16.61%,14.70%,13.51%,19.28%,16.15%,-72.70%,-28.46%,233.27%,10.75%,46.77%,4.77%,2.17%,108.31%,5.23%,6.95%,14.41%,9.42%,27.35%,12.39%,41.92%,0.00%,Oct 24 BMO,,154.38M,142.15M,19.42%,11.36,27.60M,19.07 - 40.08,-2.64%,104.61%,65.43,3.79,0.70,2.43M,"1,712,223",-2.13%,10.13%,45.11%,59.20%,84.40%,95.10%,1.42,1.18,3.14% 3.18%,30.50,38.19,39.02,2.17%
CNXC,-,2.36B,198.26M,9.40B,64.74,7.08,1.25 (3.30%),1.24 (3.28%),"Oct 25, 2024",440000,Yes / Yes,0.27%,-10.91%,12.23,3.07,1.71,0.25,0.58,5.33,6.39,1.57,1.57,1.39,1.33,-1.14%,-25.45%,3.09,12.31,3.07,-2.33%,10.04%,7.16%,43.54%,27.09%,-53.97%,44.09%,-83.35%,46.21%,-39.21%,28.87%,-0.07%,70.14%,3.11%,1.92%,5.61%,2.04%,28.88%,8.25%,2.11%,19.78%,Sep 25 AMC,,65.73M,46.10M,13.69%,8.72,6.31M,37.94 - 106.10,-64.40%,-0.43%,24.72,1.83,1.29,723.53K,"932,334",-12.04%,-23.01%,-44.39%,-42.83%,-57.83%,-61.54%,0.65,1.78,4.27% 3.84%,76.83,38.29,37.77,-1.36%
CNXN,RUT,1.80B,90.15M,2.79B,34.13,16.60,-,0.40 (0.57%),"Nov 12, 2024",2703,Yes / Yes,-0.31%,-0.63%,20.49,18.99,2.05,0.65,2.04,4.20,11.74,2.82,3.13,0.00,0.00,-3.48%,-3.55%,3.40,3.67,0.93,4.80%,8.42%,10.00%,5.55%,1.45%,14.95%,-3.36%,5.44%,4.56%,2.92%,54.17%,-0.23%,43.82%,1.78%,7.31%,10.50%,10.02%,18.17%,3.68%,3.23%,10.16%,Oct 30 AMC,,26.36M,12.05M,1.79%,2.45,0.22M,57.47 - 77.19,-9.70%,21.28%,45.24,3.00,0.70,87.92K,"61,933",-4.51%,-5.34%,0.29%,1.44%,16.01%,3.70%,0.64,1.99,2.38% 2.71%,76.00,70.15,69.70,-0.64%
COCH,-,40.27M,-23.80M,0.28M,-0.94,0.22,-,-,-,34,No / Yes,-25.33%,-14.04%,-,-,-,143.82,-,9.11,-,0.61,0.79,-,-,-35.78%,-28.35%,-1.21,-1.28,-0.31,49.47%,-6.24%,-,-,11.11%,-3472.50%,247.50%,-398.88%,-30.00%,-38.34%,66.73%,0.04%,2.42%,22.53%,-137.58%,-237.08%,-,-211.87%,-7721.94%,-8562.23%,-,Nov 14 BMO,,19.60M,6.74M,0.70%,0.20,0.05M,0.75 - 11.46,-82.72%,164.95%,36.27,1.00,0.20,230.83K,"45,019",-6.60%,-28.00%,-34.87%,-38.89%,108.42%,9.36%,2.30,0.29,13.10% 12.64%,7.19,2.14,1.98,-7.48%
COCO,RUT,2.00B,59.35M,494.86M,4.44,2.77,-,-,-,294,Yes / Yes,-4.08%,7.36%,34.95,31.14,2.04,4.04,7.89,12.66,27.68,2.63,3.28,0.00,0.00,23.08%,16.54%,1.00,1.13,0.07,24.56%,14.43%,17.16%,47.06%,14.92%,59.25%,3.21%,26.90%,-3.74%,31.29%,32.23%,-2.00%,62.18%,3.91%,19.10%,26.69%,23.54%,39.72%,15.15%,11.99%,0.00%,Oct 30 BMO,,56.90M,38.45M,16.02%,12.58,6.16M,19.41 - 36.41,-3.71%,80.63%,68.59,1.80,0.70,489.76K,"341,610",-0.57%,21.57%,40.24%,30.53%,19.86%,36.69%,0.24,1.30,3.14% 4.51%,33.22,34.02,35.06,3.06%
COCP,-,20.58M,-18.70M,0.00M,1.25,1.32,-,-,-,12,No / Yes,-,10.57%,-,-,-,-,1.66,1.57,-,7.32,7.32,0.15,0.12,14.04%,13.45%,-1.84,-2.21,-0.56,-7.84%,-9.42%,-,-1.25%,-33.86%,8.73%,-,-18.33%,-,12.07%,31.67%,0.00%,7.07%,-4.54%,-76.57%,-86.20%,-130.92%,-,0.00%,-,-,Nov 13 BMO,,10.17M,6.95M,0.03%,0.10,0.00M,1.33 - 3.10,-33.23%,56.23%,59.39,1.00,1.76,18.97K,"33,295",18.29%,-0.09%,8.38%,8.95%,31.85%,20.20%,1.51,0.18,13.46% 9.03%,8.00,2.15,2.07,-3.72%
CODA,-,96.27M,3.00M,18.82M,4.72,2.23,-,-,-,83,No / Yes,1.06%,-1.32%,32.18,19.84,-,5.12,1.81,3.82,-,10.82,15.14,0.00,0.00,10.00%,6.48%,0.27,0.43,0.07,32.14%,16.22%,-,-11.00%,-5.58%,-28.87%,-10.03%,22.37%,11.98%,25.60%,50.59%,0.00%,18.80%,-1.05%,5.56%,5.84%,5.68%,66.81%,15.79%,15.93%,0.00%,Sep 16 BMO,,11.12M,5.53M,1.88%,3.02,0.10M,5.21 - 9.15,-6.78%,63.72%,51.12,1.00,10.01,34.54K,"345,938",-5.43%,2.77%,11.21%,25.63%,34.76%,41.69%,0.53,0.34,4.62% 3.84%,11.00,8.74,8.53,-2.40%
CODI,RUT,1.74B,-147.14M,2.07B,11.98,0.94,1.00 (4.38%),1.00 (4.38%),"Oct 17, 2024",3739,Yes / Yes,1.91%,4.62%,-,9.29,-,0.84,1.91,24.17,-,1.62,4.22,1.61,1.56,19.31%,5.81%,-1.98,2.46,0.56,6.13%,12.94%,10.44%,-27.20%,9.83%,-72.05%,-7.10%,121.96%,2.29%,2.63%,12.05%,-4.70%,59.22%,5.18%,-3.40%,-11.12%,-4.65%,40.69%,10.12%,-7.10%,-,Oct 30 AMC,,75.27M,66.54M,1.16%,3.98,0.77M,19.76 - 25.07,-8.93%,15.54%,59.47,1.50,0.59,193.65K,"114,824",-1.08%,4.82%,7.69%,2.42%,13.53%,1.69%,1.64,0.53,1.81% 2.33%,29.67,22.95,22.83,-0.52%
CODX,-,33.23M,-41.28M,4.18M,2.00,1.22,-,-,-,155,Yes / Yes,70.96%,-9.01%,-,-,-,7.95,0.54,0.88,-,6.70,6.92,0.04,0.02,3.03%,-12.18%,-1.35,-1.17,-0.34,-1.33%,4.10%,-,-19.10%,6977.54%,4.47%,-10.36%,-56.11%,-91.58%,-11.69%,5.40%,0.00%,14.45%,1.23%,-45.60%,-50.57%,-63.27%,-20.81%,-1033.18%,-988.63%,-,Nov 07 AMC,,31.26M,30.21M,0.69%,0.85,0.21M,1.00 - 2.23,-51.57%,8.00%,34.38,3.00,1.00,245.31K,"245,725",-8.47%,-15.62%,-25.00%,-1.82%,-22.58%,-18.80%,-0.85,0.06,5.72% 4.51%,1.50,1.06,1.08,1.89%
COE,-,58.85M,-13.45M,35.89M,-2.38,5.26,-,-,"Jan 12, 2007",310,No / Yes,-,-2.98%,-,-,-,1.64,-,2.80,-,0.68,0.68,-,-,-,-3.27%,-2.35,-,-,-,-,-,26.59%,370.55%,-31.07%,67.29%,57.75%,75.08%,37.54%,16.57%,0.00%,6.34%,2.69%,-43.74%,-376.69%,-,77.00%,-41.22%,-37.46%,-,Aug 23 BMO,,3.99M,3.33M,0.05%,0.19,0.00M,6.00 - 19.75,-25.32%,145.83%,46.93,1.00,0.23,9.02K,"2,080",-0.77%,4.97%,15.14%,112.54%,90.32%,83.66%,-0.65,0.78,5.22% 4.82%,36.49,14.68,14.75,0.48%
COEP,-,7.80M,-11.62M,0.00M,0.17,0.03,-,-,-,7,No / Yes,-,-4.60%,-,-,-,-,1.13,6.84,-,0.40,0.40,0.26,0.03,-,2.49%,-0.32,-,-,-,-,-,-311.69%,-20.00%,65.93%,-,80.70%,-,-32.99%,28.89%,0.00%,4.21%,-45.23%,-127.52%,-205.37%,-162.86%,-,0.00%,-,-,Aug 28,,35.33M,29.24M,0.52%,0.60,0.15M,0.15 - 1.33,-85.26%,29.72%,47.07,1.00,0.51,255.78K,"130,317",-2.49%,-6.40%,-8.71%,-41.07%,-84.81%,-75.00%,-0.93,0.02,9.27% 11.75%,4.00,0.20,0.20,-1.51%
COF,S&P 500,70.58B,4.06B,53.16B,164.94,-,2.41 (1.32%),2.40 (1.31%),"Nov 14, 2024",51987,Yes / Yes,1.40%,6.05%,17.26,11.98,1.22,1.33,1.11,-,3.25,-,1.90,0.78,0.78,19.56%,15.34%,10.59,15.26,2.79,7.80%,13.05%,14.13%,0.22%,9.35%,-20.41%,12.13%,-0.87%,8.13%,26.41%,1.32%,-3.18%,92.98%,0.42%,0.90%,7.36%,3.64%,-,10.13%,7.64%,20.08%,Oct 24 AMC,,380.39M,376.47M,2.97%,4.16,11.17M,104.21 - 198.30,-7.79%,75.47%,62.58,2.23,0.94,2.69M,"2,513,960",-3.86%,14.98%,29.22%,30.04%,74.14%,39.46%,1.44,5.52,2.17% 2.66%,177.59,185.14,182.86,-1.23%
COFS,RUT,316.92M,24.86M,134.62M,27.65,-,1.08 (3.06%),1.08 (3.05%),"Sep 13, 2024",389,No / Yes,7.82%,4.04%,11.21,9.32,-,2.35,1.28,-,27.44,-,0.28,0.99,0.99,25.68%,11.00%,3.16,3.80,0.82,17.02%,15.15%,-,6.79%,32.45%,5.40%,26.21%,26.02%,20.36%,26.98%,7.86%,8.47%,33.64%,24.45%,0.94%,11.59%,5.04%,-,23.31%,18.47%,37.40%,Oct 23 AMC,,8.96M,8.25M,3.22%,6.90,0.27M,21.52 - 37.00,-4.24%,64.64%,66.67,1.00,0.85,38.55K,"32,828",-1.31%,11.28%,27.86%,28.32%,47.01%,20.92%,0.63,0.94,1.63% 2.82%,37.00,35.54,35.43,-0.31%
COGT,RUT,915.87M,-242.30M,0.00M,1.85,3.29,-,-,-,164,Yes / Yes,-,-17.88%,-,-,-,-,4.87,2.73,-,6.44,6.44,0.06,0.05,-13.03%,-17.93%,-2.48,-2.31,-0.59,0.57%,4.12%,-,15.33%,-6.78%,-5.88%,-,0.23%,-,2.69%,19.50%,0.00%,91.31%,26.00%,-65.53%,-78.47%,-73.21%,-,0.00%,-,-,Nov 12 BMO,,110.46M,88.93M,9.48%,7.80,8.43M,3.67 - 12.61,-28.71%,144.96%,30.38,1.36,2.61,1.08M,"2,822,223",-13.56%,-24.45%,-9.38%,14.67%,21.82%,52.89%,1.77,0.71,7.43% 6.94%,16.36,8.90,8.99,1.01%
COHN,-,18.94M,6.37M,133.28M,22.43,7.47,-,0.75 (7.58%),"Nov 20, 2024",118,No / Yes,-,6.95%,2.42,-,0.48,0.14,0.44,1.33,-,-,-,13.45,0.96,-,11.50%,4.08,-,-,-,-,5.00%,-9.58%,4.35%,148.67%,64.13%,565.10%,59.71%,18.20%,41.64%,-1.24%,3.24%,-22.19%,0.79%,15.75%,7.42%,92.79%,34.76%,4.78%,-,Nov 04 BMO,,1.89M,1.14M,1.21%,1.11,0.01M,6.04 - 12.82,-22.78%,63.91%,62.27,-,1.37,12.43K,"16,999",-3.35%,14.00%,20.87%,3.77%,23.60%,48.87%,1.25,0.39,3.03% 3.68%,-,9.70,9.90,2.06%
COHR,-,14.02B,-187.80M,5.00B,35.60,7.28,0.04 (0.05%),-,-,26000,Yes / Yes,2.42%,-3.16%,-,21.69,-,2.80,2.68,13.09,113.74,1.65,2.67,0.53,0.52,20.72%,1.77%,-1.23,4.40,0.69,80.81%,45.57%,56.06%,-,31.76%,59.11%,2.76%,94.05%,28.02%,33.22%,1.39%,-3.97%,93.31%,4.42%,-0.44%,-0.84%,-1.57%,33.44%,6.68%,-3.75%,-,Nov 06 AMC,,152.78M,152.52M,3.58%,2.10,5.46M,34.95 - 111.66,-14.61%,172.82%,46.31,1.80,0.79,2.60M,"2,048,673",-8.90%,-2.93%,21.39%,61.91%,168.82%,119.04%,1.68,4.89,4.86% 4.53%,109.56,95.11,95.35,0.25%
COHU,RUT,1.16B,-50.49M,444.88M,17.87,5.88,-,-,"Feb 24, 2020",3259,Yes / Yes,-0.42%,-3.84%,-,29.99,-,2.61,1.42,4.31,-,4.69,6.38,0.04,0.02,-31.80%,-0.40%,-1.07,0.85,-0.10,-110.90%,578.67%,20.00%,-,9.51%,-198.49%,-35.54%,-573.83%,-36.78%,-13.60%,2.61%,-0.65%,92.14%,-0.19%,-4.59%,-5.52%,-5.59%,37.42%,-9.96%,-11.35%,0.00%,Oct 31 AMC,,49.43M,45.40M,3.29%,4.86,1.49M,22.80 - 36.60,-30.71%,11.23%,45.03,1.86,0.93,307.28K,"287,132",-8.97%,0.12%,-2.80%,-14.56%,-22.21%,-28.34%,1.51,1.07,4.24% 3.80%,30.71,24.99,25.36,1.48%
COIN,-,89.36B,1.56B,5.91B,34.87,31.42,-,-,-,3416,Yes / Yes,-4.44%,34.67%,55.62,85.07,-,15.12,9.33,10.36,44.05,-,-,0.52,0.48,-37.40%,60.99%,5.85,3.83,0.59,1364.03%,-29.39%,-,-,147.77%,299.62%,112.33%,3039.58%,78.77%,52.29%,22.95%,-1.87%,42.73%,10.54%,0.75%,21.30%,12.04%,85.29%,25.08%,26.40%,0.00%,Oct 30 AMC,,195.19M,192.90M,4.57%,0.82,8.82M,94.45 - 334.86,-2.82%,244.53%,70.24,2.33,2.36,10.80M,"25,509,567",0.36%,47.77%,64.97%,44.50%,235.75%,87.10%,3.47,23.75,11.27% 8.18%,257.46,305.85,325.41,6.40%
COKE,-,10.55B,530.01M,6.78B,146.68,166.25,-,4.00 (0.33%),"Oct 25, 2024",17000,No / Yes,-,-0.06%,23.37,-,-,1.56,8.24,7.27,22.94,2.15,2.47,1.48,1.46,-,-3.70%,51.75,-,-,-,-,-,-,7.59%,19.59%,2.86%,33.67%,3.11%,13.89%,40.54%,-14.47%,45.37%,-2.08%,11.26%,37.73%,16.77%,39.77%,13.00%,7.81%,5.10%,Oct 30 AMC,,8.37M,5.21M,1.61%,1.79,0.08M,675.90 - 1376.84,-12.17%,78.91%,45.47,3.00,0.65,46.96K,"30,448",-0.95%,-6.08%,-4.63%,27.92%,76.86%,32.68%,0.86,32.74,1.89% 2.80%,144.00,1210.70,1209.25,-0.12%
COLB,-,6.35B,483.94M,3.00B,25.17,-,1.44 (4.71%),1.44 (4.71%),"Nov 29, 2024",5114,Yes / Yes,1.82%,3.79%,13.20,11.28,2.20,2.12,1.21,-,13.36,-,0.06,0.83,0.79,12.01%,12.14%,2.31,2.71,0.65,3.75%,2.73%,6.00%,-5.50%,45.00%,11.31%,36.36%,7.19%,2.00%,38.43%,0.85%,0.00%,93.47%,0.81%,0.93%,9.77%,5.11%,-,19.76%,16.12%,77.52%,Oct 24 BMO,,208.58M,207.75M,1.93%,2.30,4.01M,17.08 - 31.86,-4.11%,78.92%,60.50,2.55,0.56,1.75M,"971,185",-3.02%,11.17%,29.18%,52.22%,35.84%,14.51%,0.61,0.90,2.45% 2.90%,31.64,30.88,30.55,-1.07%
COLD,-,6.21B,-284.94M,2.68B,11.85,0.21,0.88 (4.05%),0.88 (4.05%),"Sep 30, 2024",14706,Yes / Yes,1.55%,-11.28%,-,41.31,-,2.32,1.83,101.33,14.70,-,-,1.12,1.12,-110.08%,-17.97%,-1.00,0.53,0.10,98.51%,2990.32%,14.00%,-,11.67%,-166.30%,-1.33%,-147.17%,0.93%,-17.34%,0.36%,0.00%,105.60%,-0.55%,-3.58%,-7.81%,-4.00%,17.92%,8.17%,-10.63%,-,Nov 07 BMO,,283.70M,283.24M,2.44%,4.04,6.91M,21.53 - 30.92,-29.66%,1.02%,18.22,1.54,1.59,1.71M,"2,722,289",-4.69%,-18.75%,-24.16%,-14.27%,-19.89%,-28.15%,0.61,0.68,2.87% 2.75%,30.23,21.82,21.75,-0.32%
COLL,RUT,920.87M,88.59M,599.25M,7.27,4.60,-,-,-,197,Yes / Yes,2.34%,-12.00%,12.61,4.44,22.92,1.54,4.02,6.35,4.79,0.88,0.97,4.24,3.96,1.16%,-19.30%,2.32,6.58,1.50,12.66%,6.73%,0.55%,-,17.87%,933.96%,9.62%,-49.46%,16.53%,-17.57%,3.63%,-15.70%,121.01%,3.92%,6.30%,42.89%,7.63%,62.36%,35.60%,14.78%,0.00%,Nov 07 AMC,,31.87M,31.08M,19.97%,16.14,6.21M,24.61 - 42.29,-30.90%,18.75%,25.99,1.80,1.46,384.69K,"561,995",-9.20%,-23.99%,-19.30%,-14.44%,16.32%,-5.07%,0.82,1.48,4.88% 4.29%,42.25,29.58,29.22,-1.22%
COLM,-,4.65B,214.06M,3.33B,31.22,6.62,1.24 (1.50%),0.90 (1.09%),"Nov 20, 2024",10070,Yes / Yes,-0.60%,1.93%,22.84,19.25,3.73,1.40,2.64,12.45,9.65,1.81,3.22,0.24,0.20,10.66%,1.24%,3.61,4.28,1.86,-5.20%,10.42%,6.12%,1.44%,5.45%,-21.39%,-7.34%,-8.39%,-5.44%,2.34%,49.91%,0.00%,51.78%,-5.74%,7.70%,11.62%,10.02%,50.21%,7.66%,6.42%,29.32%,Oct 30 AMC,,60.00M,28.65M,12.61%,9.04,3.61M,73.04 - 87.23,-5.50%,12.86%,51.98,2.64,1.37,399.66K,"547,994",-1.46%,-2.32%,2.32%,-2.82%,7.70%,3.63%,0.93,1.95,1.89% 2.40%,80.75,83.61,82.43,-1.41%
COMM,RUT,831.33M,-931.80M,4.82B,-15.39,1.94,-,-,-,20000,Yes / Yes,-23.91%,-28.52%,-,9.65,-,0.17,-,2.12,29.48,1.05,1.40,-,-,-116.46%,-29.47%,-4.39,0.43,0.02,-98.44%,4171.43%,-14.94%,-,10.02%,56.04%,-38.46%,94.90%,-32.34%,46.67%,3.67%,0.00%,79.76%,1.80%,-6.60%,-,-15.59%,32.71%,9.07%,-19.32%,-,Nov 07 BMO,,212.11M,207.95M,3.70%,1.69,7.70M,0.86 - 7.19,-42.70%,379.07%,29.39,3.38,0.65,4.56M,"2,960,183",-13.17%,-31.90%,-6.15%,207.46%,143.79%,46.10%,2.03,0.48,6.78% 8.34%,3.84,4.15,4.12,-0.72%
COMP,RUT,3.12B,-197.60M,5.35B,0.84,0.42,-,-,-,2549,Yes / Yes,-0.45%,-0.83%,-,209.55,-,0.58,7.34,14.76,81.84,0.92,0.92,1.19,0.89,100.00%,0.92%,-0.41,0.03,-0.09,53.36%,109.18%,-,-3.93%,54.62%,54.05%,9.18%,95.94%,11.71%,38.45%,18.48%,-23.91%,54.09%,8.47%,-16.04%,-43.81%,-24.39%,10.18%,-2.41%,-3.70%,-,Oct 30 AMC,,465.63M,428.87M,4.45%,3.78,19.09M,1.99 - 7.01,-11.70%,211.06%,48.61,2.25,0.57,5.05M,"2,875,707",-8.97%,6.91%,29.77%,42.96%,162.29%,64.63%,2.90,0.33,4.32% 5.58%,6.72,6.32,6.19,-2.06%
CON,RUT,2.64B,-,-,2.18,1.07,-,-,"Nov 13, 2024",11320,Yes / Yes,-0.60%,1.72%,-,-,-,-,9.52,19.32,-,1.52,1.52,7.01,6.71,4.14%,-2.40%,-,-,0.16,-,-,-4.82%,-,3.08%,-,-,-,-,-5.67%,82.74%,0.00%,20.90%,-,-,-,-,-,-,-,-,Oct 31 AMC,,126.59M,21.98M,9.50%,5.50,2.09M,18.89 - 24.81,-16.31%,9.90%,51.96,1.25,1.33,380.12K,"503,676",5.54%,-2.26%,-10.94%,-,-,-7.65%,-,0.77,3.12% 3.82%,28.00,20.53,20.76,1.12%
